Time_s,Input_u_PWM,Output_y_Temp
320.619,50.0,47.0
321.221,50.0,47.0
321.781,50.0,46.75
322.353,50.0,47.0
322.927,50.0,46.5
323.500,50.0,47.0
324.109,50.0,46.75
324.109,50.0,47.0
324.715,50.0,47.25
325.288,50.0,47.0
325.861,50.0,47.0
326.463,50.0,47.25
327.040,50.0,47.25
327.640,50.0,47.5
327.640,50.0,47.5
328.237,50.0,47.25
328.814,50.0,47.25
329.386,50.0,47.5
329.960,50.0,47.5
330.535,50.0,47.25
331.102,50.0,47.5
331.104,50.0,47.5
331.979,50.0,47.75
332.552,50.0,47.75
333.133,50.0,48.0
333.134,50.0,47.75
334.033,50.0,47.75
334.611,50.0,48.0
334.616,50.0,48.0
335.493,50.0,48.0
336.072,50.0,48.0
336.651,50.0,47.75
336.651,50.0,48.0
337.254,50.0,47.75
337.823,50.0,48.25
338.395,50.0,48.25
338.969,50.0,48.0
339.545,50.0,48.25
340.120,50.0,48.5
340.120,50.0,48.25
340.725,50.0,48.75
341.305,50.0,48.5
341.881,50.0,48.25
342.454,50.0,48.5
343.026,50.0,48.75
343.603,50.0,48.75
343.609,50.0,48.75
344.217,50.0,49.0
344.794,50.0,48.75
345.371,50.0,49.0
345.946,50.0,49.0
346.512,50.0,48.75
347.085,50.0,49.0
347.096,50.0,49.25
347.685,50.0,49.25
348.254,50.0,49.25
348.836,50.0,49.25
349.414,50.0,49.5
349.986,50.0,49.0
350.559,50.0,49.25
351.135,50.0,49.25
351.135,50.0,49.5
351.737,50.0,49.5
352.302,50.0,50.0
352.913,50.0,49.5
353.479,50.0,49.25
354.059,50.0,49.5
354.643,50.0,49.25
354.648,50.0,50.0
355.247,50.0,49.5
355.821,50.0,50.25
356.400,50.0,50.0
356.970,50.0,50.0
357.545,50.0,49.75
358.122,50.0,50.0
358.122,50.0,50.25
358.719,50.0,50.25
359.291,50.0,50.5
359.853,50.0,50.5
360.431,50.0,50.0
361.000,50.0,50.0
361.579,50.0,50.5
362.153,50.0,50.5
362.159,50.0,50.0
362.755,50.0,50.25
363.323,50.0,50.75
363.900,50.0,50.75
364.482,50.0,50.75
365.056,50.0,50.25
365.632,50.0,50.5
365.638,50.0,51.0
366.234,50.0,51.0
366.801,50.0,50.75
367.376,50.0,51.0
367.947,50.0,50.75
368.513,50.0,50.75
369.089,50.0,51.25
369.099,50.0,50.5
369.689,50.0,51.25
370.262,50.0,51.25
370.837,50.0,50.75
371.410,50.0,51.25
371.986,50.0,51.5
372.566,50.0,51.5
373.179,50.0,51.5
373.182,50.0,51.75
373.795,50.0,51.75
374.371,50.0,51.75
374.951,50.0,51.75
375.523,50.0,51.75
376.101,50.0,51.75
376.101,50.0,51.75
376.742,50.0,51.75
377.315,50.0,52.0
377.888,50.0,51.5
378.458,50.0,52.25
379.034,50.0,52.0
379.603,50.0,52.0
379.610,50.0,52.25
380.217,50.0,52.0
380.789,50.0,52.25
381.365,50.0,52.25
381.932,50.0,52.25
382.501,50.0,52.5
383.074,50.0,52.25
383.650,50.0,52.5
383.656,50.0,52.75
384.249,50.0,52.75
384.812,50.0,52.75
385.383,50.0,52.75
385.964,50.0,52.75
386.534,50.0,52.75
387.110,50.0,53.0
387.117,50.0,52.75
387.710,50.0,53.25
388.280,50.0,53.0
388.855,50.0,53.0
389.429,50.0,52.75
390.005,50.0,53.25
390.584,50.0,53.0
390.593,50.0,52.75
391.187,50.0,53.25
391.759,50.0,53.0
392.332,50.0,53.25
392.899,50.0,53.25
393.468,50.0,53.5
394.040,50.0,53.5
394.613,50.0,53.75
394.614,50.0,53.25
395.206,50.0,53.5
395.786,50.0,53.0
396.361,50.0,53.25
396.938,50.0,53.5
397.508,50.0,53.5
398.088,50.0,53.75
398.098,50.0,53.75
398.676,50.0,53.5
399.250,50.0,54.0
399.813,50.0,54.0
400.389,50.0,53.75
400.965,50.0,54.0
401.542,50.0,53.5
402.105,50.0,53.75
402.107,50.0,54.25
402.704,50.0,54.25
403.280,50.0,54.25
403.848,50.0,54.0
404.425,50.0,54.5
404.995,50.0,54.0
405.596,50.0,54.0
405.603,50.0,54.5
406.192,50.0,54.5
406.762,50.0,54.0
407.330,50.0,54.25
407.902,50.0,54.5
408.472,50.0,54.5
409.051,50.0,54.0
409.620,50.0,54.75
409.620,50.0,54.75
410.217,50.0,54.5
410.786,50.0,54.75
411.368,50.0,55.0
412.041,50.0,54.75
412.611,50.0,55.0
412.615,50.0,54.75
413.203,50.0,55.25
413.770,50.0,55.25
414.341,50.0,55.25
414.901,50.0,55.0
415.471,50.0,55.0
416.035,50.0,55.25
416.609,50.0,55.5
416.611,50.0,55.0
417.203,50.0,55.5
417.771,50.0,55.0
418.336,50.0,55.5
418.903,50.0,55.75
419.486,50.0,55.75
420.053,50.0,55.75
420.627,50.0,55.75
420.627,50.0,55.75
421.214,50.0,55.75
421.780,50.0,55.5
422.367,50.0,55.5
422.922,50.0,56.0
423.480,50.0,55.75
424.042,50.0,55.75
424.611,50.0,56.0
424.611,50.0,55.75
425.194,50.0,55.75
425.769,50.0,56.0
426.349,50.0,56.25
426.912,50.0,56.5
427.498,50.0,56.25
428.066,50.0,56.25
428.633,50.0,56.25
428.656,50.0,56.5
429.229,50.0,56.25
429.781,50.0,56.25
430.361,50.0,55.75
430.926,50.0,56.25
431.504,50.0,56.25
432.068,50.0,56.25
432.625,50.0,56.75
432.631,50.0,56.25
433.225,50.0,56.25
433.789,50.0,56.75
434.372,50.0,57.0
434.933,50.0,56.75
435.501,50.0,57.0
436.055,50.0,56.75
436.624,50.0,57.0
436.634,50.0,57.0
437.226,50.0,57.0
437.787,50.0,57.0
438.356,50.0,57.25
438.925,50.0,56.75
439.486,50.0,56.75
440.077,50.0,57.25
440.639,50.0,57.25
